Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500002,BSE,ABB India Limited,ABB,ABB India Limited,Active,A ,2,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
500003,BSE,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1,INE208C01025,Trading - Gas,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
500008,BSE,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1,INE885A01032,Batteries - Automobile,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile
500009,BSE,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X ,10,INE432A01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
500010,BSE,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2,INE001A01036,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
500012,BSE,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,B ,10,INE714B01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
500013,BSE,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,B ,5,INE436A01026,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
500014,BSE,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,XT,10,INE096A01010,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
500016,BSE,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500020,BSE,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2,INE032A01023,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
500023,BSE,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10,INE363A01022,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500027,BSE,"Atul Limited.,",ATUL,ATUL LTD.,Active,A ,10,INE100A01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500028,BSE,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10,INE447A01015,Industrial Equipments,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Equipments
500031,BSE,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2,INE193E01025,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
500032,BSE,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A ,1,INE306A01021,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500033,BSE,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10,INE451A01017,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
500034,BSE,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A ,2,INE296A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
500038,BSE,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1,INE119A01028,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500039,BSE,"Banco Products (India) Ltd.,",BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500040,BSE,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10,INE055A01016,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
500041,BSE,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,B ,10,INE459A01010,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500042,BSE,BASF India Ltd,BASF,BASF INDIA LTD.,Active,A ,10,INE373A01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500043,BSE,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Active,A ,5,INE176A01028,Footwear,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
500048,BSE,BEML Ltd,BEML,BEML LTD.,Active,T ,10,INE258A01016,Construction Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
500049,BSE,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,Active,A ,1,INE263A01024,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
500052,BSE,"Bhansali Engineering Polymers Ltd.,",BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,1,INE922A01025,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500058,BSE,Bihar Sponge Iron Ltd,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10,INE819C01011,Sponge Iron,Equity,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
500060,BSE,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,B ,10,INE800A01015,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
500067,BSE,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,Active,A ,2,INE472A01039,Air Conditioner,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Air Conditioner
500068,BSE,Disa India Ltd.,DISAQ,DISA INDIA LTD.,Active,X ,10,INE131C01011,Industrial Machinery,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Machinery
500069,BSE,QUEST CAPITAL MARKETS LIMITED,QUESTCAP,Quest Capital Markets Ltd,Active,X ,10,INE418C01012,Other Capital Market related Services,Equity,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services
500074,BSE,"BPL Ltd.,",BPL,BPL LTD.,Active,B ,10,INE110A01019,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
500078,BSE,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Active,B ,5,INE959C01023,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500083,BSE,"Century Extrusions Ltd.,",CENTEXT,CENTURY EXTRUSIONS LTD.,Active,T ,1,INE281A01026,Aluminium- Copper & Zinc Products,Equity,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
500084,BSE,"CESC Limited,",CESC,CESC LTD.,Active,A ,1,INE486A01021,Electric Utilities,Equity,Utilities,Power,Power,Electric Utilities
